id,yield_class,age,average_height,dbh,taper,trees_per_ha
8,2.0,130,17.0,21.5,0.44,622.0
92,9.0,100,32.7,40.6,0.413,377.0
4,4.0,90,18.0,22.5,0.462,873.0
20,8.0,160,25.4,64.5,0.4819440673364105,178.0
92,5.0,110,22.6,32.9,0.425,440.0
9,6.0,140,26.9,32.14,0.418,521.0
9,3.0,140,18.6,20.76,0.428,865.0
21,1.0,100,9.2,11.0,0.382,2256.0
20,7.0,100,16.9,40.8,0.4987320371935757,374.0
8,7.0,90,25.2,33.2,0.429,396.0
87,12.0,40,12.8,14.2,0.516,2502.0
91,16.0,40,11.548878866739994,16.055509886959445,0.4716588331530817,2456.0
93,10.0,190,41.1,51.4,0.397,284.0
91,3.0,250,32.75408315427384,44.25981865180699,0.4329388156934332,388.0
8,8.0,70,24.3,29.9,0.43,476.0
16,15.0,20,20.1,21.6,0.471,659.0
20,6.0,60,7.8,17.4,0.462558275058275,1486.0
19,3.0,60,16.3,18.9,0.452,717.0
89,13.0,120,34.37607462894559,44.47689708522887,0.43547254039919,398.0
93,11.0,170,42.5,50.3,0.397,332.0
3,11.0,130,33.9,41.2,0.441,441.0
6,16.0,90,31.0,39.5,0.472,427.0
21,2.0,40,11.4,14.5,0.42,1120.0
88,5.0,60,11.485205960964109,18.116379557906736,0.4530604343451547,1293.0
16,6.0,40,15.4,19.2,0.505,627.0
89,2.0,120,14.435755010312777,25.406244074066063,0.4254282977118798,737.0
91,5.0,160,26.918003996179586,36.79229419287645,0.4373811068348252,545.0
13,6.0,20,10.6,10.5,0.475,1963.0
5,7.0,80,21.4,24.7,0.509,784.0
17,2.0,100,10.7,16.8,0.54,840.0
91,2.0,240,27.906275073043155,38.914119907360174,0.434561060460877,474.0
91,9.0,100,23.46306392670493,31.23806817566189,0.4431379374607139,765.0
91,5.0,60,9.3233862588448,17.190883243455215,0.4457042880714983,1295.0
91,8.0,160,33.622398606466284,44.27671854646535,0.4345413329298172,403.0
75,11.0,120,34.6,47.6,0.4634,231.0
8,6.0,40,11.8,15.8,0.427,1172.0
87,8.0,110,23.8,30.1,0.483,633.0
88,14.0,110,36.5024264669628,39.02570058128256,0.4506247037420715,484.0
1,10.0,90,27.0,32.2,0.45,705.0
89,13.0,40,12.578432452214884,15.234398670379516,0.4824983520822676,2535.0
15,8.0,50,22.3,24.1,0.498,568.0
92,6.0,40,9.9,13.1,0.487,1951.0
17,9.0,50,24.7,30.5,0.486,506.0
7,18.0,65,37.4,45.2,0.4,279.0
3,7.0,130,27.3,34.4,0.446,520.0
13,7.0,50,18.4,21.1,0.482,611.0
89,5.0,130,22.10064562211929,33.260469484530184,0.4325720436040199,576.0
87,15.0,110,35.6,43.5,0.447,359.0
6,12.0,90,25.4,30.3,0.505,654.0
93,3.0,220,16.2,26.0,0.447,898.0
2,16.0,40,17.8,17.2,0.488,1662.0
3,10.0,130,32.4,39.6,0.442,458.0
93,6.0,160,26.0,37.1,0.418,429.0
89,9.0,90,22.082593196978287,30.409659609376504,0.4413417082870527,737.0
76,4.0,180,23.7,23.7,0.5042,1061.0
16,12.0,30,20.8,24.7,0.475,507.0
10,6.0,50,14.6,13.2,0.44,2020.0
91,5.0,120,20.396816651613317,28.90812337645448,0.4403936013619586,822.0
91,8.0,120,26.184260402069004,35.0284919875666,0.4400820283189562,615.0
4,13.0,120,35.8,43.8,0.439,425.0
20,2.0,190,12.3,28.7,0.4984175715883032,663.0
92,6.0,250,38.4,64.9,0.378,114.0
93,5.0,130,19.8,28.5,0.435,751.0
91,16.0,110,36.0652017081689,44.33882714382195,0.4385971944877344,437.0
8,4.0,140,23.4,33.3,0.431,356.0
89,13.0,70,22.683591380519264,27.81914636063361,0.451514638135735,922.0
9,8.0,70,24.1,28.18,0.425,670.0
92,3.0,90,12.7,20.0,0.456,932.0
75,12.0,130,36.7,50.3,0.4629,203.0
12,9.0,60,28.2,34.3,0.461,302.0
75,16.0,140,42.9,57.8,0.4619,151.0
4,15.0,90,35.2,40.8,0.443,483.0
89,3.0,210,25.92324638029172,39.44733705458355,0.4279015716239701,414.0
3,10.0,80,27.0,29.7,0.456,716.0
4,15.0,140,39.9,49.6,0.436,360.0
4,8.0,70,22.3,24.5,0.464,902.0
2,6.0,80,18.5,19.8,0.475,1266.0
14,22.0,20,21.9,35.9,0.41,283.0
91,3.0,230,30.731446936146195,41.924490812830825,0.4339825114667293,425.0
76,6.0,200,32.3,29.2,0.5023,796.0
75,10.0,90,30.5,42.3,0.4646,300.0
1,14.0,120,37.4,45.5,0.439,457.0
88,2.0,130,16.028819012970363,25.09551458524444,0.4362978559303153,743.0
75,7.0,120,27.4,39.4,0.463,313.0
9,3.0,100,17.7,19.54,0.427,939.0
87,9.0,190,31.5,42.5,0.459,315.0
90,11.0,90,24.825543737243425,29.9831533700457,0.4506640609240541,778.0
93,11.0,100,35.4,37.1,0.407,598.0
87,7.0,50,10.6,13.9,0.523,2246.0
15,2.0,40,12.0,9.4,0.376,2038.0
7,12.0,70,31.3,40.6,0.41,323.0
8,9.0,30,14.2,16.0,0.439,1280.0
90,9.0,150,34.79730787611501,43.10988409271453,0.4391075044565659,374.0
3,5.0,70,16.7,19.5,0.471,1187.0
75,8.0,140,30.2,43.1,0.4623,258.0
10,5.0,110,24.0,29.0,0.49,517.0
2,11.0,60,20.8,21.0,0.475,1238.0
76,9.0,80,23.8,23.8,0.5041,1058.0
91,7.0,210,38.448136254951805,49.263207160102525,0.4323530504317279,341.0
3,5.0,90,19.6,24.1,0.461,857.0
19,2.0,80,15.0,21.5,0.46,496.0
90,8.0,170,35.96492368437739,44.97291449683403,0.4371174426454732,338.0
91,12.0,50,12.705122854430606,18.595967645562,0.4561784804541356,1806.0
89,15.0,80,28.298481356927603,33.74318283105044,0.4485430146898561,673.0
93,10.0,230,42.3,54.0,0.395,255.0
5,14.0,140,34.7,53.4,0.48,245.0
17,6.0,180,24.2,33.8,0.485,402.0
91,12.0,120,33.10207229057573,42.50502804657822,0.4374124964664529,450.0
19,10.0,20,18.6,18.2,0.446,906.0
7,16.0,50,30.5,33.9,0.42,479.0
10,6.0,90,24.2,26.5,0.485,628.0
90,3.0,210,28.18952469380158,37.856980901764025,0.4378572893516821,450.0
8,3.0,120,18.5,25.3,0.438,540.0
1,15.0,70,28.1,33.9,0.448,710.0
3,6.0,90,22.0,25.9,0.459,793.0
92,3.0,100,14.2,22.4,0.449,770.0
90,13.0,120,36.47618745401452,43.22038370170597,0.4415840459543823,388.0
16,16.0,60,27.5,38.8,0.478,279.0
87,15.0,60,23.8,24.3,0.483,1094.0
76,2.0,150,14.2,16.7,0.5089,1672.0
88,6.0,110,22.57017119454199,29.68724302192234,0.4451941560295773,683.0
10,10.0,140,37.5,47.9,0.504,213.0
5,13.0,100,30.8,41.2,0.49,380.0
18,11.0,70,27.0,36.6,0.453,366.0
12,8.0,80,28.9,40.6,0.464,229.0
4,6.0,100,22.9,28.4,0.453,683.0
87,14.0,120,35.1,43.6,0.448,348.0
7,9.0,80,28.7,39.4,0.4,335.0
18,13.0,20,10.8,10.1,0.354,3551.0
92,4.0,140,23.3,37.3,0.416,319.0
87,12.0,120,31.6,39.0,0.459,425.0
87,18.0,80,35.3,38.9,0.448,479.0
93,6.0,130,23.7,32.7,0.424,568.0
8,10.0,140,39.1,53.6,0.408,181.0
19,10.0,90,31.9,43.2,0.424,296.0
7,17.0,30,19.8,18.3,0.45,1473.0
75,4.0,20,7.7,15.1,0.4661,1295.0
2,5.0,80,16.8,17.5,0.48,1496.0
4,10.0,140,32.1,41.3,0.44,444.0
3,7.0,70,20.6,22.5,0.468,1011.0
91,7.0,130,26.19726659100701,35.347730195662194,0.4392671367450454,598.0
76,2.0,180,15.6,17.8,0.5077,1540.0
5,16.0,100,33.8,46.3,0.486,328.0
90,2.0,120,13.359502850194264,23.48651358622761,0.4283992310776537,905.0
7,9.0,30,11.9,12.6,0.46,2190.0
4,7.0,70,20.9,23.1,0.467,953.0
75,14.0,20,13.0,21.5,0.4626,833.0
75,9.0,110,30.6,42.9,0.4636,280.0
87,4.0,120,18.7,26.3,0.498,659.0
20,6.0,140,18.8,45.8,0.492436835106383,310.0
92,12.0,80,36.0,39.9,0.415,454.0
10,10.0,120,36.4,43.1,0.504,261.0
88,3.0,100,14.894814799241802,23.032117115560496,0.4404197727274761,881.0
90,9.0,120,28.693400171885543,35.73452465731337,0.4443211219204547,544.0
89,13.0,90,28.0310740753603,35.213021324643066,0.4441486633261592,609.0
91,3.0,130,18.03941522231686,26.967494342748385,0.4379866677920696,870.0
76,6.0,150,28.0,26.5,0.5033,912.0
91,4.0,240,34.96415268839127,46.42908303279858,0.4324292483711122,363.0
89,10.0,50,13.165338364068814,18.400796565792707,0.459847692236206,1743.0
20,3.0,190,15.4,36.6,0.4987565625863498,447.0
9,9.0,80,27.9,33.67,0.416,530.0
92,7.0,210,38.4,60.2,0.384,152.0
20,2.0,220,13.4,31.4,0.4975124378109453,573.0
11,8.0,100,29.5,39.0,0.51,291.0
13,20.0,30,32.4,47.2,0.427,184.0
3,10.0,150,33.3,41.4,0.441,429.0
2,14.0,80,29.6,31.4,0.455,715.0
76,6.0,40,9.9,13.0,0.5202,2255.0
91,14.0,120,36.07808232162663,45.1416679258537,0.4369508295176902,415.0
4,11.0,40,15.8,17.7,0.477,1527.0
12,3.0,100,18.0,31.0,0.446,301.0
17,8.0,70,26.2,35.5,0.481,386.0
5,17.0,50,24.2,25.3,0.513,896.0
92,9.0,90,30.9,37.4,0.419,434.0
91,16.0,80,26.72909224202336,32.64643724635449,0.4478652049329281,765.0
87,10.0,110,27.0,33.1,0.473,561.0
7,18.0,25,16.6,14.8,0.44,2104.0
14,21.0,40,29.9,63.4,0.419,144.0
4,7.0,80,22.5,25.7,0.46,818.0
3,12.0,110,33.8,39.8,0.443,475.0
92,5.0,210,33.7,57.5,0.386,135.0
92,2.0,140,14.7,25.5,0.439,545.0
10,9.0,50,19.2,16.7,0.475,1425.0
11,3.0,50,8.3,9.0,0.36,2649.0
93,2.0,190,11.2,18.7,0.479,1726.0
76,7.0,30,8.3,11.5,0.532,2576.0
88,9.0,150,34.32946024635749,41.73359713096817,0.4412841983142883,407.0
4,14.0,100,35.3,41.7,0.442,463.0
87,13.0,140,35.3,45.3,0.448,309.0
11,8.0,40,17.7,16.0,0.496,1017.0
90,15.0,90,31.05262688810475,34.81375660966744,0.4513989521119527,614.0
7,13.0,65,31.7,39.8,0.41,338.0
17,4.0,80,16.6,23.7,0.509,619.0
5,16.0,110,34.8,49.7,0.484,290.0
11,5.0,100,21.3,31.4,0.496,407.0
11,5.0,110,22.1,33.8,0.498,365.0
8,2.0,120,15.8,19.7,0.441,720.0
7,17.0,45,29.3,31.1,0.43,573.0
92,3.0,200,25.3,45.0,0.402,183.0
4,11.0,20,6.2,8.7,0.393,3843.0
19,9.0,110,30.9,46.3,0.427,250.0
91,12.0,90,25.240291517284604,32.37489658735947,0.4448566729671185,744.0
93,10.0,150,38.8,46.8,0.4,347.0
1,15.0,100,35.3,42.9,0.44,508.0
92,5.0,250,36.3,63.9,0.379,104.0
12,4.0,40,13.9,15.1,0.451,885.0
12,5.0,120,24.9,43.7,0.455,194.0
20,6.0,180,21.9,54.4,0.4851074525574966,235.0
92,6.0,190,34.9,56.2,0.388,161.0
75,9.0,30,14.7,23.9,0.461,718.0
91,17.0,70,24.056482819188098,28.6440483394124,0.4526842806347015,982.0
14,17.0,60,28.8,65.2,0.418,142.0
92,5.0,160,29.2,46.8,0.401,217.0
87,2.0,130,17.0,25.8,0.503,538.0
18,9.0,60,22.8,29.2,0.451,550.0
14,19.0,30,25.4,49.8,0.411,192.0
3,8.0,20,6.1,6.6,0.269,5050.0
21,1.0,80,8.8,10.3,0.374,2373.0
15,6.0,50,21.1,21.9,0.482,631.0
76,10.0,130,36.2,31.5,0.5015,716.0
88,3.0,170,23.283554703999368,33.27814235881205,0.4365276681318206,519.0
93,5.0,210,24.2,36.8,0.421,419.0
1,14.0,30,10.3,15.6,0.462,1914.0
5,8.0,70,20.8,23.3,0.512,874.0
75,10.0,20,10.8,18.9,0.4619,979.0
1,14.0,50,19.9,24.7,0.459,1082.0
90,6.0,150,27.834455275509494,36.28412112384012,0.440952780591271,507.0
20,8.0,250,27.7,71.1,0.4835502802188891,151.0
14,22.0,50,32.2,70.8,0.425,126.0
2,16.0,30,12.7,12.7,0.491,2442.0
4,11.0,110,32.0,38.8,0.443,495.0
10,6.0,80,22.5,23.4,0.483,783.0
87,11.0,20,4.6,6.4,0.541,7958.0
75,16.0,120,41.8,55.4,0.4634,178.0
76,12.0,80,29.0,27.1,0.5032,881.0
12,9.0,100,32.6,50.9,0.476,165.0
87,13.0,80,26.5,29.5,0.475,753.0
89,14.0,110,34.05777032325471,43.17266889940672,0.4376938141954695,426.0
5,5.0,90,20.3,23.4,0.511,828.0
92,5.0,190,32.1,53.6,0.391,160.0
5,14.0,80,29.0,35.7,0.496,492.0
91,5.0,140,23.788173486519952,32.91261624087958,0.4391735864544762,663.0
20,1.0,210,8.8,19.9,0.4765395894428152,1195.0
93,10.0,240,42.5,54.4,0.395,250.0
75,9.0,130,31.7,44.6,0.4628,250.0
12,9.0,120,33.8,57.4,0.482,137.0
76,7.0,110,25.5,24.9,0.5038,994.0
1,2.0,90,10.2,17.7,0.451,1214.0
8,10.0,120,37.3,49.9,0.412,206.0
10,8.0,40,13.6,11.6,0.413,2506.0
9,9.0,140,34.6,43.47,0.399,361.0
75,12.0,90,33.4,45.4,0.4649,270.0
1,14.0,80,30.1,35.8,0.446,652.0
1,12.0,40,14.0,17.9,0.47,1669.0
16,13.0,40,23.5,30.0,0.471,389.0
88,4.0,70,11.992033528961407,19.10084316268178,0.4482921794093825,1160.0
75,11.0,70,28.8,40.1,0.4651,338.0
10,3.0,40,6.9,6.8,0.136,4281.0
17,7.0,60,23.2,30.4,0.488,495.0
7,9.0,35,14.6,16.0,0.46,1608.0
14,27.0,50,35.4,77.5,0.434,112.0
15,2.0,80,15.8,15.6,0.432,895.0
88,5.0,200,31.240010543542045,41.864602760484686,0.4351876872070113,376.0
87,2.0,60,5.8,9.3,0.538,2723.0
91,12.0,70,19.194180799360645,24.943910236333043,0.4505913487350422,1179.0
17,3.0,20,4.7,6.5,0.472,3797.0
3,7.0,40,12.7,13.3,0.488,2128.0
1,5.0,40,6.8,9.7,0.427,3042.0
14,13.0,20,16.2,27.3,0.416,389.0
20,7.0,170,23.5,58.9,0.4824212083285925,206.0
90,7.0,90,18.189480562786407,25.45183337218277,0.4447287065014164,969.0
1,13.0,30,10.0,14.5,0.466,2143.0
91,6.0,130,24.165333362125526,33.08813502188114,0.4398014281886079,665.0
8,7.0,110,28.1,38.0,0.425,318.0
93,6.0,200,28.0,41.1,0.413,336.0
8,7.0,20,7.0,9.6,0.353,2551.0
91,9.0,60,13.110221314467951,20.0864661695318,0.4479167765801427,1483.0
1,11.0,100,30.6,36.4,0.446,598.0
13,7.0,40,17.8,23.0,0.484,637.0
76,12.0,20,7.9,11.1,0.5368,2661.0
16,11.0,40,21.5,27.4,0.476,425.0
1,13.0,50,19.1,23.4,0.462,1168.0
2,13.0,70,26.0,26.7,0.463,903.0
87,7.0,30,5.5,8.0,0.539,5039.0
91,2.0,160,18.92079542157195,28.400819189700464,0.4363346273299302,780.0
92,9.0,110,34.2,43.5,0.408,334.0
8,2.0,110,14.5,17.7,0.441,854.0
19,8.0,60,25.7,31.7,0.453,436.0
88,4.0,240,31.88516549554397,43.97198381850716,0.4318364899504049,335.0
5,16.0,30,14.3,13.3,0.532,2463.0
10,3.0,80,14.9,15.8,0.476,1407.0
7,15.0,35,21.5,21.1,0.45,1126.0
4,9.0,70,23.5,26.0,0.461,856.0
1,13.0,60,22.9,27.4,0.456,944.0
12,10.0,110,35.2,57.2,0.486,139.0
88,4.0,90,15.428134263476792,23.05025453664539,0.4431174103824429,925.0
15,5.0,30,15.3,13.8,0.414,1157.0
1,4.0,90,14.5,21.5,0.456,1075.0
90,14.0,80,26.24750592889057,29.51060718647664,0.4554670939322583,831.0
5,12.0,140,32.7,49.1,0.482,273.0
90,6.0,70,12.134901056699542,20.021258225756934,0.4423276703136354,1369.0
12,7.0,110,29.2,48.0,0.466,175.0
9,7.0,110,27.7,33.29,0.417,509.0
75,11.0,50,23.8,34.5,0.4644,433.0
1,10.0,100,28.9,34.6,0.447,629.0
91,7.0,220,39.63219654132695,50.14444444795052,0.4323605726899664,336.0
2,14.0,20,6.2,7.6,0.352,4375.0
3,14.0,90,33.8,38.5,0.445,520.0
11,8.0,130,31.6,45.5,0.512,241.0
93,8.0,140,31.9,41.2,0.408,378.0
76,10.0,30,10.5,13.6,0.5167,2147.0
7,9.0,25,9.2,9.5,0.39,2835.0
89,15.0,50,18.346359231521724,20.2551040177423,0.4676283607018172,1619.0
92,11.0,80,33.8,38.1,0.418,466.0
16,10.0,50,21.5,29.0,0.478,382.0
87,8.0,60,14.3,17.7,0.512,1594.0
87,13.0,150,36.0,47.0,0.446,282.0
10,8.0,80,26.9,26.8,0.489,619.0
89,14.0,50,17.281924057237475,19.899223948400053,0.466253521226914,1651.0
87,15.0,20,6.4,7.5,0.536,6961.0
92,7.0,60,18.2,21.9,0.455,961.0
87,5.0,80,14.2,19.3,0.512,1216.0
75,4.0,80,19.0,29.1,0.4625,522.0
12,11.0,100,36.3,56.3,0.488,145.0
92,9.0,40,16.5,18.0,0.47,1387.0
88,8.0,170,34.82292488504497,43.58419285657673,0.4381394050782133,371.0
9,6.0,40,13.0,13.52,0.39,1790.0
91,6.0,70,12.267526277630632,20.26488153606857,0.4414637165366728,1283.0
89,4.0,80,12.741281535158064,21.962468318101745,0.4332763678493648,1022.0
10,8.0,110,31.1,35.9,0.5,363.0
91,7.0,80,15.708262893925156,23.269737109868764,0.443410148347035,1172.0
91,7.0,100,20.140347024775416,27.962057886092506,0.4427582889561099,898.0
89,15.0,40,14.352963772274055,15.455069811852674,0.484678711994079,2533.0
90,6.0,30,3.854290610291897,10.164439094273847,0.4181380170352411,2932.0
76,6.0,110,23.0,23.2,0.5045,1092.0
16,19.0,40,27.6,35.4,0.469,345.0
9,9.0,90,29.6,36.14,0.412,476.0
76,5.0,40,8.8,12.0,0.527,2466.0
9,9.0,100,31.0,38.21,0.408,438.0
87,7.0,150,26.4,35.4,0.475,438.0
7,16.0,55,32.4,37.3,0.41,397.0
87,3.0,60,7.5,11.4,0.533,2327.0
89,4.0,110,17.40145544654996,27.930967967198967,0.4311452438565484,729.0
91,16.0,50,15.514946651139155,19.40622972944572,0.4630433533550951,1881.0
16,12.0,80,24.9,37.2,0.48,262.0
91,2.0,60,6.34305800192475,12.406553208896536,0.4868261375532583,1226.0
21,5.0,80,24.1,35.8,0.405,311.0
19,6.0,120,25.9,42.6,0.457,238.0
90,4.0,240,34.96574636937241,45.01556750419646,0.4353645192961054,326.0
2,10.0,80,24.6,26.5,0.462,872.0
10,7.0,70,22.4,21.6,0.482,913.0
93,7.0,200,31.9,45.3,0.407,283.0
17,3.0,170,14.7,19.9,0.517,754.0
20,7.0,180,24.0,60.6,0.4828042328042328,197.0
10,4.0,90,19.2,21.2,0.485,898.0
76,4.0,190,24.3,24.1,0.5041,1037.0
15,3.0,30,12.2,10.1,0.383,1734.0
4,15.0,150,40.3,50.1,0.436,356.0
75,13.0,130,38.2,52.0,0.4628,191.0
5,13.0,80,28.0,34.3,0.497,517.0
89,3.0,220,26.709000725227355,40.45515536550597,0.4276338307059596,397.0
89,11.0,60,17.2457528092572,22.560609302942204,0.4534967061216275,1275.0
8,4.0,100,18.6,25.9,0.436,539.0
92,2.0,230,21.9,40.6,0.409,190.0
10,3.0,70,13.1,13.6,0.463,1757.0
89,12.0,40,11.724150773484142,15.104370636355972,0.4812522589499942,2524.0
11,5.0,130,23.0,37.5,0.501,317.0
87,2.0,160,22.0,34.2,0.488,287.0
3,9.0,110,29.4,34.8,0.447,544.0
17,3.0,110,14.2,19.8,0.52,754.0
75,13.0,70,31.4,42.7,0.4658,309.0
16,18.0,70,28.8,42.5,0.486,250.0
12,10.0,80,32.7,45.7,0.473,198.0
88,5.0,130,23.53333606280275,31.70060155042098,0.441965350673888,599.0
76,6.0,50,12.1,15.0,0.5119,1909.0
91,14.0,30,7.081976153001456,12.463373655956328,0.4948863981208902,3000.0
20,6.0,240,24.8,62.7,0.4819040125885129,186.0
16,11.0,60,23.2,32.6,0.478,323.0
90,9.0,50,10.443422644633875,16.41363376161969,0.4625143166034295,2075.0
1,12.0,70,25.0,29.5,0.454,840.0
7,17.0,40,26.5,27.0,0.44,748.0
18,7.0,40,14.7,15.9,0.438,1536.0
3,14.0,20,9.5,10.3,0.471,3220.0
7,15.0,50,29.4,32.9,0.42,501.0
93,9.0,80,26.5,28.3,0.422,838.0
9,2.0,120,15.6,16.74,0.417,1108.0
92,12.0,100,39.3,45.6,0.405,364.0
92,6.0,80,20.2,26.4,0.441,682.0
19,2.0,120,16.1,26.2,0.457,351.0
9,2.0,150,15.8,16.99,0.418,1086.0
93,8.0,160,33.5,44.3,0.406,323.0
3,7.0,60,18.4,19.7,0.475,1233.0
90,4.0,140,22.006254327404527,30.90426800916012,0.4395204275884843,656.0
75,7.0,90,25.6,36.9,0.4638,368.0
4,15.0,60,27.6,30.6,0.454,743.0
4,5.0,150,22.1,33.5,0.44,519.0
20,4.0,230,20.0,49.2,0.4904761904761905,276.0
76,10.0,120,34.4,30.4,0.502,752.0
93,5.0,80,14.2,19.4,0.46,1585.0
3,10.0,70,25.0,26.8,0.461,835.0
7,11.0,65,28.9,37.1,0.41,377.0
89,5.0,110,19.242309620431737,29.602784775739213,0.4333485170552643,693.0
19,10.0,50,27.8,31.6,0.449,466.0
87,10.0,90,23.8,28.3,0.483,757.0
75,6.0,80,22.8,33.7,0.4631,426.0
91,14.0,40,10.536692451301956,15.97397573197041,0.4675968447679702,2303.0
89,4.0,210,28.3267934527258,41.96498636134916,0.4283036461129463,383.0
87,12.0,30,8.9,10.5,0.528,3984.0
88,5.0,210,32.09721535483935,43.09724545183602,0.4341807657420304,357.0
20,2.0,130,9.3,21.0,0.4782116581777023,1094.0
88,7.0,30,6.4652407547752055,11.323616126512178,0.5116156893855912,2130.0
3,5.0,80,18.3,21.9,0.466,995.0
75,15.0,20,13.5,22.1,0.4628,803.0
8,3.0,130,19.6,27.1,0.437,480.0
17,9.0,150,30.6,45.5,0.469,249.0
76,5.0,110,20.4,21.4,0.5052,1216.0
87,6.0,100,19.2,25.2,0.497,810.0
5,15.0,120,34.6,50.8,0.483,274.0
92,3.0,220,26.9,48.7,0.397,149.0
92,5.0,150,28.1,44.3,0.405,245.0
4,12.0,70,27.1,30.1,0.455,734.0
92,4.0,50,8.3,12.5,0.485,1925.0
87,10.0,140,30.2,38.7,0.463,405.0
13,17.0,40,32.3,49.0,0.426,194.0
5,13.0,20,5.8,6.0,0.137,6117.0
21,6.0,90,27.3,42.0,0.408,239.0
15,4.0,90,22.2,25.4,0.507,453.0
89,2.0,140,16.673490136971935,28.32928142771224,0.4257191997297271,643.0
3,13.0,40,18.9,19.3,0.478,1402.0
88,2.0,120,14.881700926178253,23.66230931508996,0.4370573219213232,800.0
4,10.0,80,26.8,30.3,0.454,700.0
1,14.0,100,34.5,41.3,0.442,527.0
92,7.0,70,20.8,25.5,0.445,753.0
19,6.0,40,18.8,21.0,0.452,718.0
16,11.0,50,22.6,30.4,0.476,362.0
15,4.0,100,22.3,26.7,0.515,412.0
4,14.0,40,18.0,20.7,0.47,1288.0
1,13.0,40,14.7,19.1,0.467,1522.0
92,5.0,60,12.9,17.5,0.467,1264.0
92,6.0,120,27.4,39.3,0.414,336.0
3,12.0,140,35.8,43.9,0.439,411.0
76,8.0,160,35.1,30.9,0.5016,737.0
7,15.0,70,35.0,44.3,0.4,282.0
6,20.0,120,42.3,63.9,0.436,176.0
91,14.0,60,17.76981134779141,22.519573964587224,0.4556296191134384,1439.0
87,4.0,80,12.6,17.8,0.517,1303.0
